date,idx,code,shares,sharesChg,sharesChgRatio,nav,closePrice,changePct,turnoverRate,turnoverValue,turnoverVolume,disc,discountRatioCurve,avgDiscountRatioCurve,size,totalMV,totalAssets,stockRatio,bondRatio,ytdReturn,ytdMaxDrawdown,return1M,return3M,return6M,return1Y,return3Y,maxDrawdown1M,maxDrawdown3M,maxDrawdown6M,maxDrawdown1Y,maxDrawdown3Y,indexDailyChange,index1YReturn,holderAccount,institutionHolderRatio,individualHolderRatio,prlistTop20Ratio,isTPlus0
2026-06-24,纳斯达克100,sh513300,5189171000,750000,0.01,2.56,2.68,0.90,4.83,666923609,,8.04,,,13297769604.60,13912000000,10534872125.27,45.71,0,-12.63,,-9.91,-9.91,-13.08,-16.33,-26.89,11.99,11.99,11.99,11.99,11.99,,,0,0,0,66.70,
2026-06-24,标普500,sh513500,9931638600,0,0,2.41,2.52,0.72,1.70,422403058,,6.16,,,23935249026,25058000000,20958247094.45,35.54,0,-12.93,,-4.84,-4.84,-12.93,-13.63,-24.93,7.50,7.50,8.36,8.83,10.66,,,0,0,0,46.94,
2026-06-24,日经225,sh513520,1053387200,500000,0.05,2.29,2.47,0.86,37.22,965158221,,8.26,,,2416996930.40,2600000000,1780773603.80,0,0,-15.97,,-6.30,-6.65,-15.97,-15.97,-24.20,9.45,9.45,9.45,9.45,20.72,,,0,0,0,0,
2026-06-24,德国DAX,sz159561,1578499489,-1000000,-0.06,1.31,1.28,0,3.53,71443447,,-0.93,,,2067202930.79,2022000000,1883019803.08,61.84,0,-19.52,,-5.95,-6.45,-19.52,-19.52,-35.67,1.43,6.16,6.32,6.32,51.41,,,0,0,0,0,
2026-06-24,法国CAC40,sh513080,632416000,500000,0.08,1.76,1.74,0.46,8.01,87770341.00,,0.05,,,1110396012.80,1100000000,998736495.85,54.17,0,-20.30,,-4.36,-6.49,-20.30,-20.30,-20.30,2.81,8.63,9.93,9.93,17.18,,,0,0,0,0,
2026-06-24,东南亚科技,sh513730,891355000,0,0,1.17,1.14,0.62,3.32,33850090,,0.60,,,1045381144,1017000000,1039767397.68,0,0,-21.14,,-8.84,-10.07,-21.14,-22.70,-31.97,3.89,4.24,4.24,4.98,7.72,,,0,0,0,0,
2026-06-24,沙特,sh520830,1221119000,-1500000,-0.12,0.91,0.90,0.45,1.50,16452265,,-0.76,,,1112073073.30,1101000000,1317787249.67,0,0,-8.62,,-2.72,-6.69,-8.62,-10.63,-31.93,1.64,2.04,4.75,4.75,25.71,,,0,0,0,99.47,
2026-06-24,政金债,sh511580,64472800,-2146000,-3.33,109.38,109.39,0.02,42.09,2968495951,,0.01,,,7052163809.60,7053000000,5388889015.40,0,63.13,-0.17,,-0.07,-0.08,-0.17,-0.17,-0.63,0.01,0.02,0.13,0.13,0.50,,,0,0,0,100.35,
2026-06-25,沪深300,sh510300,24676687700,-1708200000,-6.92,4.95,5.05,1.63,11.54,13252886361,,-0.05,,,122075574051.90,115531000000,200092908189.41,22.93,0,-7.63,,-4.69,-5.54,-7.63,-7.63,-21.95,0.44,0.44,0.44,0.49,3.42,,,0,0,0,36.90,
2026-06-25,沪深300,sh510310,17021444000,-1359000000,-7.98,4.80,4.89,1.60,12.65,9698277491,,0.07,,,81633143279.60,77040000000,137426933234.62,23.23,0,-7.57,,-4.59,-5.44,-7.57,-7.57,-21.79,0.46,0.46,0.46,0.46,1.58,,,0,0,0,38,
